date,no,sx,number
1976,001,羊,34
1976,002,兔,26
1976,003,猴,21
1976,004,蛇,12
1976,005,蛇,24
1976,006,马,23
1976,007,龙,13
1976,008,羊,34
1976,009,羊,34
1976,010,鸡,32
1976,011,羊,10
1976,012,兔,14
1976,013,虎,03
1976,014,蛇,36
1976,015,狗,19
1976,016,羊,10
1976,017,虎,03
1976,018,马,11
1976,019,羊,22
1976,020,虎,15
1976,021,猪,06
1976,022,鼠,29
1976,023,鼠,05
1976,024,牛,04
1976,025,羊,10
1976,026,猪,06
1976,027,狗,31
1976,028,牛,28
1976,029,鸡,32
1976,030,羊,34
1976,031,牛,04
1976,032,猴,33
1976,033,牛,16
1976,034,兔,14
1976,035,狗,19
1976,036,蛇,12
1976,037,兔,14
1976,038,虎,27
1976,039,虎,15
1976,040,蛇,36
1976,041,猪,06
1976,042,猪,30
1976,043,马,11
1976,044,鼠,29
1976,045,猴,21
1976,046,兔,14
1976,047,猪,06
1976,048,龙,01
1976,049,鸡,20
1976,050,猴,33
1977,001,蛇,25
1977,002,牛,05
1977,003,蛇,25
1977,004,猴,10
1977,005,猴,10
1977,006,蛇,01
1977,007,马,36
1977,008,虎,28
1977,009,马,12
1977,010,虎,28
1977,011,鸡,21
1977,012,猪,19
1977,013,羊,35
1977,014,马,36
1977,015,鸡,21
1977,016,鼠,18
1977,017,兔,27
1977,018,鼠,30
1977,019,虎,04
1977,020,羊,23
1977,021,牛,29
1977,022,龙,14
1977,023,猴,10
1977,024,鼠,06
1977,025,猴,10
1977,026,鸡,09
1977,027,羊,35
1977,028,鼠,18
1977,029,虎,16
1977,030,猪,19
1977,031,龙,02
1977,032,猪,31
1977,033,牛,17
1977,034,龙,26
1977,035,鸡,21
1977,036,鼠,30
1977,037,狗,20
1977,038,牛,29
1977,039,猪,31
1977,040,蛇,13
1977,041,牛,29
1977,042,猪,31
1977,043,羊,35
1977,044,牛,05
1977,045,猴,22
1977,046,狗,20
1977,047,羊,35
1977,048,猪,31
1977,049,狗,08
1977,050,狗,20
1977,051,牛,17
1977,052,鸡,21
1977,053,鼠,18
1977,054,马,12
1977,055,鼠,06
1977,056,龙,14
1977,057,狗,20
1977,058,鸡,33
1977,059,兔,15
1977,060,猴,10
1977,061,鼠,06
1977,062,马,12
1977,063,马,36
1977,064,鸡,21
1977,065,蛇,01
1977,066,虎,28
1977,067,狗,32
1977,068,狗,08
1977,069,鸡,21
1977,070,猴,10
1977,071,蛇,13
1977,072,狗,08
1977,073,虎,28
1977,074,狗,32
1977,075,羊,23
1977,076,鼠,18
1977,077,马,24
1977,078,蛇,25
1977,079,蛇,13
1977,080,虎,28
1977,081,羊,23
1977,082,羊,35
1977,083,兔,03
1977,084,狗,08
1977,085,鼠,18
1977,086,鼠,30
1977,087,羊,35
1977,088,虎,28
1977,089,猪,31
1977,090,虎,16
1977,091,羊,35
1977,092,虎,16
1977,093,鼠,30
1977,094,鼠,18
1977,095,猴,10
1977,096,羊,35
1977,097,羊,23
1977,098,虎,04
1977,099,羊,11
1977,100,兔,15
1977,101,鸡,21
1977,102,羊,11
1978,001,虎,17
1978,002,猪,08
1978,003,兔,04
1978,004,鼠,19
1978,005,狗,21
1978,006,龙,15
1978,007,牛,30
1978,008,狗,09
1978,009,兔,04
1978,010,羊,36
1978,011,鼠,19
1978,012,蛇,14
1978,013,猴,11
1978,014,牛,30
1978,015,狗,33
1978,016,羊,36
1978,017,狗,21
1978,018,鸡,10
1978,019,虎,05
1978,020,虎,29
1978,021,兔,28
1978,022,蛇,26
1978,023,龙,15
1978,024,鼠,31
1978,025,蛇,14
1978,026,猴,11
1978,027,猪,20
1978,028,牛,30
1978,029,猪,20
1978,030,兔,04
1978,031,羊,24
1978,032,猪,08
1978,033,羊,24
1978,034,牛,06
1978,035,龙,27
1978,036,狗,33
1978,037,龙,03
1978,038,蛇,26
1978,039,马,25
1978,040,鸡,10
1978,041,牛,18
1978,042,鸡,34
1978,043,猴,11
1978,044,鸡,34
1978,045,鸡,34
1978,046,马,13
1978,047,牛,30
1978,048,狗,21
1978,049,马,01
1978,050,兔,04
1978,051,羊,36
1978,052,牛,06
1978,053,蛇,26
1978,054,鸡,10
1978,055,狗,09
1978,056,虎,29
1978,057,猴,11
1978,058,羊,24
1978,059,马,13
1978,060,蛇,14
1978,061,龙,27
1978,062,狗,33
1978,063,狗,09
1978,064,鸡,22
1978,065,牛,06
1978,066,鼠,31
1978,067,狗,33
1978,068,马,13
1978,069,虎,05
1978,070,龙,03
1978,071,鼠,31
1978,072,龙,27
1978,073,蛇,14
1978,074,狗,09
1978,075,猪,08
1978,076,龙,03
1978,077,牛,18
1978,078,牛,06
1978,079,马,01
1978,080,鸡,34
1978,081,牛,06
1978,082,马,25
1978,083,龙,15
1978,084,猪,32
1978,085,蛇,26
1978,086,虎,29
1978,087,牛,18
1978,088,猪,32
1978,089,猴,11
1978,090,鸡,34
1978,091,虎,29
1978,092,牛,06
1978,093,牛,30
1978,094,牛,18
1978,095,羊,12
1978,096,虎,05
1978,097,蛇,02
1978,098,猪,20
1978,099,兔,04
1978,100,猴,11
1978,101,猴,23
1979,001,虎,30
1979,002,鼠,32
1979,003,虎,06
1979,004,鼠,32
1979,005,鸡,11
1979,006,猪,33
1979,007,牛,31
1979,008,兔,05
1979,009,龙,16
1979,010,狗,10
1979,011,龙,04
1979,012,兔,29
1979,013,兔,29
1979,014,鸡,11
1979,015,龙,28
1979,016,羊,25
1979,017,兔,05
1979,018,马,02
1979,019,蛇,03
1979,020,龙,28
1979,021,牛,19
1979,022,牛,07
1979,023,狗,34
1979,024,龙,28
1979,025,马,26
1979,026,蛇,03
1979,027,马,26
1979,028,猪,33
1979,029,牛,31
1979,030,猪,33
1979,031,马,26
1979,032,牛,19
1979,033,鸡,11
1979,034,牛,19
1979,035,蛇,15
1979,036,鼠,08
1979,037,鼠,32
1979,038,猪,33
1979,039,鸡,35
1979,040,虎,18
1979,041,猪,09
1979,042,猴,36
1979,043,鼠,32
1979,044,牛,31
1979,045,羊,25
1979,046,牛,31
1979,047,虎,30
1979,048,虎,30
1979,049,蛇,15
1979,050,龙,28
1979,051,虎,06
1979,052,兔,05
1979,053,蛇,27
1979,054,猴,36
1979,055,马,14
1979,056,牛,19
1979,057,猪,09
1979,058,牛,07
1979,059,龙,04
1979,060,马,26
1979,061,猴,36
1979,062,龙,28
1979,063,鸡,11
1979,064,马,14
1979,065,鸡,23
1979,066,鼠,32
1979,067,羊,25
1979,068,兔,05
1979,069,羊,25
1979,070,牛,07
1979,071,狗,10
1979,072,虎,30
1979,073,兔,05
1979,074,猴,24
1979,075,蛇,27
1979,076,鼠,08
1979,077,蛇,27
1979,078,狗,10
1979,079,兔,29
1979,080,虎,06
1979,081,鼠,08
1979,082,牛,19
1979,083,羊,01
1979,084,蛇,15
1979,085,蛇,03
1979,086,虎,30
1979,087,狗,10
1979,088,蛇,15
1979,089,蛇,15
1979,090,鼠,32
1979,091,兔,05
1979,092,兔,29
1979,093,牛,31
1979,094,牛,07
1979,095,兔,29
1979,096,虎,06
1979,097,兔,29
1979,098,狗,22
1979,099,龙,16
1979,100,虎,18
1979,101,马,26
1979,102,猪,33
1980,001,狗,11
1980,002,马,27
1980,003,猪,34
1980,004,马,27
1980,005,猪,22
1980,006,马,03
1980,007,蛇,28
1980,008,兔,30
1980,009,马,27
1980,010,马,27
1980,011,蛇,28
1980,012,马,27
1980,013,龙,05
1980,014,猴,13
1980,015,蛇,04
1980,016,羊,14
1980,017,兔,06
1980,018,龙,29
1980,019,兔,30
1980,020,牛,08
1980,021,马,15
1980,022,牛,08
1980,023,猪,10
1980,024,虎,31
1980,025,蛇,04
1980,026,猪,10
1980,027,猴,01
1980,028,羊,02
1980,029,鸡,24
1980,030,狗,11
1980,031,鼠,09
1980,032,虎,19
1980,033,虎,31
1980,034,鸡,24
1980,035,鸡,36
1980,036,狗,35
1980,037,牛,32
1980,038,虎,31
1980,039,牛,32
1980,040,鼠,33
1980,041,猪,34
1980,042,虎,07
1980,043,龙,17
1980,044,马,27
1980,045,蛇,28
1980,046,羊,14
1980,047,猪,10
1980,048,牛,20
1980,049,狗,11
1980,050,兔,30
1980,051,羊,26
1980,052,马,27
1980,053,鸡,24
1980,054,兔,06
1980,055,猪,10
1980,056,龙,29
1980,057,猪,22
1980,058,蛇,16
1980,059,鼠,09
1980,060,鸡,12
1980,061,马,27
1980,062,鼠,33
1980,063,猴,25
1980,064,牛,08
1980,065,鼠,33
1980,066,马,15
1980,067,牛,20
1980,068,虎,19
1980,069,狗,23
1980,070,牛,32
1980,071,蛇,04
1980,072,虎,31
1980,073,牛,20
1980,074,鸡,12
1980,075,兔,18
1980,076,鼠,33
1980,077,马,15
1980,078,羊,02
1980,079,牛,20
1980,080,羊,26
1980,081,狗,35
1980,082,鸡,12
1980,083,虎,31
1980,084,猪,10
1980,085,猴,01
1980,086,牛,20
1980,087,鼠,21
1980,088,羊,26
1980,089,马,15
1980,090,猴,25
1980,091,羊,26
1980,092,猪,10
1980,093,羊,02
1980,094,牛,08
1980,095,龙,29
1980,096,兔,06
1980,097,鸡,24
1980,098,虎,31
1980,099,猴,13
